sample_path,target_emotion,quality_score_1_5,emotion_match_1_5,comment
outputs/generation/vqvae_final/samples/happy_replace010_000.wav,Happy,,,
outputs/generation/vqvae_final/samples/happy_replace010_001.wav,Happy,,,
outputs/generation/vqvae_final/samples/happy_replace010_002.wav,Happy,,,
outputs/generation/vqvae_final/samples/happy_replace010_003.wav,Happy,,,
outputs/generation/vqvae_final/samples/happy_replace010_004.wav,Happy,,,
outputs/generation/vqvae_final/samples/angry_replace010_000.wav,Angry,,,
outputs/generation/vqvae_final/samples/angry_replace010_001.wav,Angry,,,
outputs/generation/vqvae_final/samples/angry_replace010_002.wav,Angry,,,
outputs/generation/vqvae_final/samples/angry_replace010_003.wav,Angry,,,
outputs/generation/vqvae_final/samples/angry_replace010_004.wav,Angry,,,
outputs/generation/vqvae_final/samples/sad_replace010_000.wav,Sad,,,
outputs/generation/vqvae_final/samples/sad_replace010_001.wav,Sad,,,
outputs/generation/vqvae_final/samples/sad_replace010_002.wav,Sad,,,
outputs/generation/vqvae_final/samples/sad_replace010_003.wav,Sad,,,
outputs/generation/vqvae_final/samples/sad_replace010_004.wav,Sad,,,
outputs/generation/vqvae_final/samples/relaxed_replace010_000.wav,Relaxed,,,
outputs/generation/vqvae_final/samples/relaxed_replace010_001.wav,Relaxed,,,
outputs/generation/vqvae_final/samples/relaxed_replace010_002.wav,Relaxed,,,
outputs/generation/vqvae_final/samples/relaxed_replace010_003.wav,Relaxed,,,
outputs/generation/vqvae_final/samples/relaxed_replace010_004.wav,Relaxed,,,
